CAMPUS NOVA - ALL CREDENTIALS
=============================

ADMINS
------
Email: admin@nova.edu
Password: password123

TEACHERS
--------
Email: MCAmanimozhi@nova.in      | Password: manimozhi123
Email: MCAshaktidevi@nova.in     | Password: shaktidevi123
Email: MCAanbarasan@nova.in      | Password: anbarasan123
Email: MCArajan@nova.in          | Password: rajan123
Email: MBAdivya@nova.in          | Password: divya123
Email: MBAtamizh@nova.in         | Password: tamizh123
Email: MBAsekar@nova.in          | Password: sekar123
Email: MBAkannan@nova.in         | Password: kannan123
Email: CSEkeerthi@nova.in        | Password: keerthi123
Email: CSEjhonsi@nova.in         | Password: jhonsi123
Email: CSEbhaskar@nova.in        | Password: bhaskar123
Email: CSEmaasi@nova.in          | Password: maasi123
Email: ITbasha@nova.in           | Password: basha123
Email: ITtheantamil@nova.in      | Password: theantamil123
Email: ITmeera@nova.in           | Password: meera123
Email: ITraju@nova.in            | Password: raju123

STUDENTS
--------
Dept: CSE  | Roll: CSE26001   | Email: karthik65@nova.edu        | Password: karthik123
Dept: CSE  | Roll: CSE26002   | Email: kode65@nova.edu           | Password: kode123
Dept: CSE  | Roll: CSE26003   | Email: krishnaveni65@nova.edu    | Password: krishnaveni123
Dept: CSE  | Roll: CSE26004   | Email: magesh65@nova.edu         | Password: magesh123
Dept: CSE  | Roll: CSE26005   | Email: mani65@nova.edu           | Password: mani123
Dept: CSE  | Roll: CSE26006   | Email: mohamed65@nova.edu        | Password: mohamed123
Dept: CSE  | Roll: CSE26007   | Email: mohan65@nova.edu          | Password: mohan123
Dept: CSE  | Roll: CSE26008   | Email: mohasir65@nova.edu        | Password: mohasir123
Dept: CSE  | Roll: CSE26009   | Email: padmaja65@nova.edu        | Password: padmaja123
Dept: CSE  | Roll: CSE26010   | Email: parthiban65@nova.edu      | Password: parthiban123
Dept: CSE  | Roll: CSE26011   | Email: parveen65@nova.edu        | Password: parveen123
Dept: CSE  | Roll: CSE26012   | Email: prasanth65@nova.edu       | Password: prasanth123
Dept: CSE  | Roll: CSE26013   | Email: premalika65@nova.edu      | Password: premalika123
Dept: CSE  | Roll: CSE26014   | Email: premji65@nova.edu         | Password: premji123
Dept: CSE  | Roll: CSE26015   | Email: priya65@nova.edu          | Password: priya123
Dept: IT   | Roll: IT26001    | Email: raja65@nova.edu           | Password: raja123
Dept: IT   | Roll: IT26002    | Email: rajesh65@nova.edu         | Password: rajesh123
Dept: IT   | Roll: IT26003    | Email: rakesh65@nova.edu         | Password: rakesh123
Dept: IT   | Roll: IT26004    | Email: rasheddha65@nova.edu      | Password: rasheddha123
Dept: IT   | Roll: IT26005    | Email: rogan65@nova.edu          | Password: rogan123
Dept: IT   | Roll: IT26006    | Email: rohit65@nova.edu          | Password: rohit123
Dept: IT   | Roll: IT26007    | Email: sabapathy65@nova.edu      | Password: sabapathy123
Dept: IT   | Roll: IT26008    | Email: safiya65@nova.edu         | Password: safiya123
Dept: IT   | Roll: IT26009    | Email: sandhiya65@nova.edu       | Password: sandhiya123
Dept: IT   | Roll: IT26010    | Email: sanjay65@nova.edu         | Password: sanjay123
Dept: IT   | Roll: IT26011    | Email: sathya65@nova.edu         | Password: sathya123
Dept: IT   | Roll: IT26012    | Email: selvi65@nova.edu          | Password: selvi123
Dept: IT   | Roll: IT26013    | Email: sharmilan65@nova.edu      | Password: sharmilan123
Dept: IT   | Roll: IT26014    | Email: siraj65@nova.edu          | Password: siraj123
Dept: IT   | Roll: IT26015    | Email: siva65@nova.edu           | Password: siva123
Dept: MBA  | Roll: MBA26001   | Email: dhanush65@nova.edu        | Password: dhanush123
Dept: MBA  | Roll: MBA26002   | Email: dharani65@nova.edu        | Password: dharani123
Dept: MBA  | Roll: MBA26003   | Email: elizharasi65@nova.edu     | Password: elizharasi123
Dept: MBA  | Roll: MBA26004   | Email: eyal65@nova.edu           | Password: eyal123
Dept: MBA  | Roll: MBA26005   | Email: gayathiri65@nova.edu      | Password: gayathiri123
Dept: MBA  | Roll: MBA26006   | Email: grish65@nova.edu          | Password: grish123
Dept: MBA  | Roll: MBA26007   | Email: hari65@nova.edu           | Password: hari123
Dept: MBA  | Roll: MBA26008   | Email: harish65@nova.edu         | Password: harish123
Dept: MBA  | Roll: MBA26009   | Email: hema65@nova.edu           | Password: hema123
Dept: MBA  | Roll: MBA26010   | Email: jafren65@nova.edu         | Password: jafren123
Dept: MBA  | Roll: MBA26011   | Email: jagan65@nova.edu          | Password: jagan123
Dept: MBA  | Roll: MBA26012   | Email: james65@nova.edu          | Password: james123
Dept: MBA  | Roll: MBA26013   | Email: jayapriya65@nova.edu      | Password: jayapriya123
Dept: MBA  | Roll: MBA26014   | Email: joseph65@nova.edu         | Password: joseph123
Dept: MBA  | Roll: MBA26015   | Email: jp65@nova.edu             | Password: jp123
Dept: MCA  | Roll: MCA26001   | Email: aagash65@nova.edu         | Password: aagash123
Dept: MCA  | Roll: MCA26002   | Email: aanand65@nova.edu         | Password: aanand123
Dept: MCA  | Roll: MCA26003   | Email: aasik65@nova.edu          | Password: aasik123
Dept: MCA  | Roll: MCA26004   | Email: abdul65@nova.edu          | Password: abdul123
Dept: MCA  | Roll: MCA26005   | Email: ajith65@nova.edu          | Password: ajith123
Dept: MCA  | Roll: MCA26006   | Email: anbu65@nova.edu           | Password: anbu123
Dept: MCA  | Roll: MCA26007   | Email: apsal65@nova.edu          | Password: apsal123
Dept: MCA  | Roll: MCA26008   | Email: arun65@nova.edu           | Password: arun123
Dept: MCA  | Roll: MCA26009   | Email: arunthathi65@nova.edu     | Password: arunthathi123
Dept: MCA  | Roll: MCA26010   | Email: ashwin65@nova.edu         | Password: ashwin123
Dept: MCA  | Roll: MCA26011   | Email: aysha65@nova.edu          | Password: aysha123
Dept: MCA  | Roll: MCA26012   | Email: balaji65@nova.edu         | Password: balaji123
Dept: MCA  | Roll: MCA26013   | Email: began65@nova.edu          | Password: began123
Dept: MCA  | Roll: MCA26014   | Email: charu65@nova.edu          | Password: charu123
Dept: MCA  | Roll: MCA26015   | Email: deepika65@nova.edu        | Password: deepika123
